3|Capital|General|1||Capital|15/12/2025|01:51|0.00|0.00|0.00
31|Capital Contable|General|2|3|Capital|15/12/2025|01:51|0.00|0.00|0.00
3101|Capital Social|General|3|31|Capital|15/12/2025|01:51|0.00|0.00|0.00
31011|Aportes de los Socios|Detalle|4|3101|Capital|15/12/2025|01:51|500.00|0.00|500.00
3102|Resultados Acumulados|General|3|31|Capital|15/12/2025|01:51|0.00|0.00|0.00
31021|Utilidades Retenidas|Detalle|4|3102|Capital|15/12/2025|01:51|0.00|0.00|0.00
31022|Pérdidas Acumuladas|Detalle|4|3102|Capital|15/12/2025|01:51|0.00|0.00|0.00
4|Ingresos|General|1||Ingreso|15/12/2025|01:51|0.00|0.00|0.00
41|Ingresos Operacionales|General|2|4|Ingreso|15/12/2025|01:51|0.00|0.00|0.00
4101|Ventas|General|3|41|Ingreso|15/12/2025|01:51|0.00|0.00|0.00
41011|Ventas de Contado|Detalle|4|4101|Ingreso|15/12/2025|01:51|800.00|0.00|800.00
41012|Ventas a Crédito|Detalle|4|4101|Ingreso|15/12/2025|01:51|0.00|1000.00|-1000.00
42|Otros Ingresos|General|2|4|Ingreso|15/12/2025|01:51|0.00|0.00|0.00
4201|Ingresos Financieros|General|3|42|Ingreso|15/12/2025|01:51|0.00|0.00|0.00
42011|Intereses Ganados|Detalle|4|4201|Ingreso|15/12/2025|01:51|0.00|0.00|0.00
5|Gastos|General|1||Gasto|15/12/2025|01:51|0.00|0.00|0.00
51|Gastos Operacionales|General|2|5|Gasto|15/12/2025|01:51|0.00|0.00|0.00
5101|Gastos Administrativos|General|3|51|Gasto|15/12/2025|01:51|0.00|0.00|0.00
51011|Sueldos y Salarios|Detalle|4|5101|Gasto|15/12/2025|01:51|0.00|800.00|-800.00
51012|Alquiler|Detalle|4|5101|Gasto|15/12/2025|01:51|0.00|0.00|0.00
51013|Servicios Públicos|Detalle|4|5101|Gasto|15/12/2025|01:51|0.00|0.00|0.00
52|Gastos de Venta|General|2|5|Gasto|15/12/2025|01:51|0.00|0.00|0.00
5201|Publicidad y Promoción|Detalle|3|52|Gasto|15/12/2025|01:51|0.00|0.00|0.00
53|Gastos Financieros|General|2|5|Gasto|15/12/2025|01:51|0.00|0.00|0.00
5301|Intereses Pagados|Detalle|3|53|Gasto|15/12/2025|01:51|90.00|0.00|90.00
